,street_name,city_name,total_square_meters,living_square_meters,kitchen_square_meters,rooms_count,floor,wall_type,inspected,construction_year,heating,seller,water,building_condition,floors_count,price_uah
66,улица,Киев,43.99,19.48,11.46,1.0,6,кирпич,True,2014.0,без отопления,от представителя застройщика,централизованное (водопровод),требует,6,923790
67,other,Ирпень,49.0,26.0,11.0,2.0,8,кирпич,True,2017,индивидуальное,от представителя хозяина (без комиссионных),централизованное (водопровод),хорошее,10,1132315
68,улица,Ивано-Франковск,34.0,15.0,9.0,1.0,9,кирпич,True,2014.0,без отопления,от представителя хозяина (без комиссионных),централизованное (водопровод),требует,11,343511
69,улица,Одесса,40.0,20.0,11.0,1.0,13,газоблок,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),отличное,19,951654
70,other,Ирпень,40.0,18.0,9.0,1.0,2,кирпич,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),хорошее,10,862595
71,улица,Ивано-Франковск,30.0,32.0,10.0,1.0,10,кирпич,True,2014.0,индивидуальное,от представителя хозяина (без комиссионных),централизованное (водопровод),отличное,10,508906
72,улица,Киев,114.5,75.0,24.5,3.0,11,кирпич,True,2014.0,централизованное,от представителя хозяина (без комиссионных),централизованное (водопровод),хорошее,11,2671755
73,улица,Винница,64.0,31.0,10.0,3.0,1,кирпич,True,2014.0,централизованное,от посредника,централизованное (водопровод),хорошее,9,903308
74,дорога,Одесса,68.0,17.0,24.0,2.0,14,кирпич,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),хорошее,22,2340967
75,улица,Львов,83.0,53.0,11.0,3.0,5,кирпич,True,2017,индивидуальное,от собственника,централизованное (водопровод),отличное,10,2086514
76,улица,Ровно,62.23,33.56,9.56,2.0,2,кирпич,True,2019,без отопления,от посредника,централизованное (водопровод),хорошее,5,1005089
77,улица,Киев,56.0,41.0,7.0,3.0,7,кирпич,True,2014.0,централизованное,от собственника,централизованное (водопровод),нормальное,9,2162850
78,улица,Киев,43.0,18.0,101.0,1.0,14,монолит,True,2001,централизованное,от представителя хозяина (без комиссионных),централизованное (водопровод),хорошее,15,1094147
79,other,Миргород,49.0,34.0,8.0,2.0,2,кирпич,False,2014.0,централизованное,от собственника,other,other,5,521628
80,улица,Хмельницкий,56.0,36.0,9.0,2.0,6,кирпич,True,2014.0,без отопления,от представителя застройщика,централизованное (водопровод),отличное,10,520800
81,улица,Ивано-Франковск,41.0,32.0,9.0,1.0,2,кирпич,True,2014.0,без отопления,от представителя хозяина (без комиссионных),централизованное (водопровод),требует,10,402036
82,улица,Житомир,38.0,27.0,6.0,2.0,2,кирпич,True,2014.0,централизованное,от посредника,централизованное (водопровод),отличное,2,483461
83,other,Ирпень,70.0,30.0,15.0,2.0,10,кирпич,True,2014.0,индивидуальное,от представителя хозяина (без комиссионных),централизованное (водопровод),хорошее,10,1524173
84,улица,Ивано-Франковск,42.0,32.0,9.0,1.0,4,кирпич,True,2014.0,индивидуальное,от представителя хозяина (без комиссионных),централизованное (водопровод),отличное,6,801527
85,улица,Ивано-Франковск,65.0,40.0,8.0,3.0,4,кирпич,True,2014.0,индивидуальное,от представителя хозяина (без комиссионных),централизованное (водопровод),хорошее,5,941476
86,улица,Киев,47.0,30.0,7.0,2.0,1,панель,True,2014.0,централизованное,от посредника,централизованное (водопровод),нормальное,5,1068702
87,other,Винница,76.4,37.0,14.0,2.0,9,кирпич,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),отличное,10,1221374
88,улица,Винница,81.0,50.0,10.0,4.0,2,кирпич,True,2014.0,централизованное,от посредника,централизованное (водопровод),хорошее,9,1195929
89,улица,Одесса,270.0,160.0,25.0,4.0,6,газобетон,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),отличное,7,3689567
90,улица,Ровно,60.0,37.0,8.0,3.0,4,кирпич,True,2014.0,other,other,other,нормальное,5,1030534
91,улица,Киев,67.1,34.3,11.6,2.0,2,кирпич,True,2009,индивидуальное,от посредника,централизованное (водопровод),хорошее,10,2188295
92,улица,Киев,43.1,28.4,6.7,2.0,4,кирпич,True,2014.0,централизованное,от посредника,централизованное (водопровод),хорошее,9,1081425
93,улица,Николаев,66.0,30.0,22.0,3.0,2,кирпич,True,2014.0,централизованное,от посредника,централизованное (водопровод),хорошее,5,1195929
94,other,Ирпень,35.0,32.0,10.0,1.0,1,кирпич,False,2019,индивидуальное,от посредника,other,other,10,508906
95,дорога,Одесса,46.0,22.0,12.0,1.0,10,монолит,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),хорошее,24,1043257
96,улица,Харьков,78.0,45.0,19.0,2.0,5,кирпич,True,2014.0,без отопления,от собственника,централизованное (водопровод),отличное,12,903308
97,улица,Винница,82.0,40.0,18.0,2.0,12,кирпич,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),отличное,12,1361323
98,улица,Николаев,67.6,37.2,14.6,2.0,2,кирпич,True,2018,индивидуальное,от представителя хозяина (без комиссионных),централизованное (водопровод),отличное,9,946056
99,улица,Харьков,83.0,58.4,3.8,4.0,5,панель,True,2014.0,централизованное,от посредника,централизованное (водопровод),нормальное,9,1781170
100,улица,Ильичевск,80.0,32.0,9.0,1.0,2,кирпич,True,2014.0,централизованное,от посредника,централизованное (водопровод),отличное,8,1526717
101,улица,Николаев,54.0,32.0,6.0,3.0,4,кирпич,True,2014.0,централизованное,от посредника,централизованное (водопровод),хорошее,9,890585
102,улица,Харьков,70.0,49.0,7.0,4.0,7,панель,True,1980,централизованное,от представителя хозяина (без комиссионных),централизованное (водопровод),нормальное,9,814249
103,переулок,Одесса,108.0,50.0,27.0,2.0,12,кирпич,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),отличное,20,3847328
